bridge_id,bauwerksart_text,baustoffklasse,laenge,breite,baujahr,traffic_dtv_latest,traffic_dtv_mean,zustandsnote,zustandsnotenklasse,gis_ort,gis_kreis,gis_bundesland,geom_x,geom_y
1325515.C_,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,63.5,23.0,2002,,,2.0,2.0  -  2.4,Kappeln                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1106113.0344000012,7296059.3697
1420500._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,22.46,11.75,1978,,,2.2,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1009110.2263999992,7268698.564599998
1420501._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,20.2,4.5,1984,,,2.3,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011709.2709,7265382.063500002
1420502._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,26.89,6.0,1979,,,2.5,2.5  -  2.9,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011139.4737999998,7266264.027000003
1420503._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,21.07,10.75,1980,,,2.3,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1008178.0253,7269970.582199998
1420506._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,10.2,3.0,1989,,,2.0,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1003040.5218000002,7273775.825999998
1420507._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,17.11,12.75,1989,,,2.3,2.0  -  2.4,Strukum                                           ,Kreis Nordfriesland                                                             ,SH,1001897.9606,7278097.334799997
1828512.A_,Plattenbrücke                                                                   ,Beton/Stahlbeton,10.3,21.25,1974,,,1.1,1.0  -  1.4,Plön                                              ,Kreis Plön                                                                      ,SH,1160867.628800001,7200871.516599998
1420508._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.25,12.5,1963,,,1.7,1.5  -  1.9,Viöl                                              ,Kreis Nordfriesland                                                             ,SH,1019719.8645000012,7274914.579300001
1421500._0,Plattenbrücke                                                                   ,Spannbeton,16.8,12.5,1970,,,2.3,2.0  -  2.4,Treia                                             ,Kreis Schleswig-Flensburg                                                       ,SH,1037174.8106000014,7268194.768700004
1421502._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,5.0,14.0,1963,,,2.4,2.0  -  2.4,Viöl                                              ,Kreis Nordfriesland                                                             ,SH,1020547.1649999992,7277734.219499998
1422502._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.57,11.5,1964,,,2.1,2.0  -  2.4,Silberstedt                                       ,Kreis Schleswig-Flensburg                                                       ,SH,1044110.2688999996,7268754.1096
1422504._0,Gewölbe-/Bogenbrücke ohne Aufbeton                                              ,Beton/Stahlbeton,29.82,44.78,1976,43063.0,38037.705882352944,2.9,2.5  -  2.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1057463.3929999992,7267368.500399999
1422505._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,14.0,29.5,1974,43063.0,38037.705882352944,3.0,3.0  -  3.4,Schuby                                            ,Kreis Schleswig-Flensburg                                                       ,SH,1056798.0894999988,7268917.4021999985
1422506._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,46.0,16.0,1975,43063.0,38037.705882352944,2.5,2.5  -  2.9,Schuby                                            ,Kreis Schleswig-Flensburg                                                       ,SH,1056292.8603999987,7269962.062600002
2425550.R6,Hohlkastenbrücke                                                                ,Spannbeton,120.0,10.0,1974,,,2.8,2.5  -  2.9,Im Zuge A7                                        ,Hamburg                                                                         ,,,
1422507._0,Hohlkastenbrücke                                                                ,Spannbeton,73.9,11.75,1975,41979.0,35894.09523809524,2.5,2.5  -  2.9,Schuby                                            ,Kreis Schleswig-Flensburg                                                       ,SH,1055858.6666,7270631.363600001
1422508._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,46.22,6.0,1975,41979.0,35894.09523809524,1.9,1.5  -  1.9,Schuby                                            ,Kreis Schleswig-Flensburg                                                       ,SH,1054846.951200001,7272034.8342999965
1422509._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,47.06,6.0,1975,41979.0,35894.09523809524,2.5,2.5  -  2.9,Lürschau                                          ,Kreis Schleswig-Flensburg                                                       ,SH,1053933.3114,7274740.805600002
1422510._0,Plattenbrücke                                                                   ,Spannbeton,46.38,11.75,1977,41979.0,35894.09523809524,2.3,2.0  -  2.4,Arenholz                                          ,Kreis Schleswig-Flensburg                                                       ,SH,1053888.4272000007,7275807.149800003
1422511._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,48.4,6.0,1976,41979.0,35894.09523809524,2.0,2.0  -  2.4,Gammellund                                        ,Kreis Schleswig-Flensburg                                                       ,SH,1054112.7212999985,7279281.651100002
1422512._0,Plattenbrücke                                                                   ,Spannbeton,45.85,12.75,1977,41979.0,35894.09523809524,2.5,2.5  -  2.9,Idstedt                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1054062.432500001,7279956.831299998
1425508._0,Plattenbrücke                                                                   ,Spannbeton,26.63,9.5,1972,,,2.2,2.0  -  2.4,Grüntal                                           ,Kreis Rendsburg-Eckernförde                                                     ,SH,1109386.1625999997,7283909.257399999
1422513._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,48.4,6.0,1976,41979.0,35894.09523809524,2.4,2.0  -  2.4,Bollingstedt                                      ,Kreis Schleswig-Flensburg                                                       ,SH,1053638.3643000014,7281800.6669000015
1422514._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,18.05,30.8,1976,,,2.3,2.0  -  2.4,Bollingstedt                                      ,Kreis Schleswig-Flensburg                                                       ,SH,1052662.2256000005,7284011.162799999
1423501._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.86,27.3,1959,43063.0,38037.705882352944,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1063418.9521000013,7265834.253399998
1423502._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,150.0,17.2,1961,43063.0,38037.705882352944,2.5,2.5  -  2.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1062187.9265,7266787.2136999965
1423503._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,23.28,13.35,1961,43063.0,38037.705882352944,2.8,2.5  -  2.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1061812.9879,7266951.213500001
1423504._0,Plattenbrücke                                                                   ,Spannbeton,40.85,25.3,1967,43063.0,38037.705882352944,1.8,1.5  -  1.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1061599.2062,7266845.1521999985
1423505._0,"Rohr als Brücke, ohne Ummantelung                                               ",Stahl/Leichtmetall,3.1,41.18,1966,43063.0,38037.705882352944,2.3,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1060710.1182000004,7266957.0088
1423506._0,"Rohr als Brücke, mit Ummantelung                                                ",Stahl/Leichtmetall,3.64,25.91,1997,43063.0,38037.705882352944,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1060422.875700001,7267055.664399996
1423507._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Stahl/Leichtmetall,375.0,17.5,1967,43063.0,38037.705882352944,3.0,3.0  -  3.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1059889.8509999998,7267355.173600003
1423508._0,Plattenbrücke                                                                   ,Spannbeton,46.24,7.5,1967,43063.0,38037.705882352944,2.3,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1059304.9019000009,7267966.106600001
1423509._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,10.82,17.5,1966,43063.0,38037.705882352944,2.1,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1058863.6523000002,7270633.299099997
1423510._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,28.98,17.5,1966,43063.0,38037.705882352944,2.2,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1058791.241700001,7271158.796599999
1423513._0,Gewölbe-/Bogenbrücke ohne Aufbeton                                              ,Beton/Stahlbeton,4.21,12.6,2014,43063.0,38037.705882352944,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1065760.6295000017,7265521.709899999
1447501._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,19.5,13.0,1959,,,2.7,2.5  -  2.9,Sassnitz                                          ,Landkreis Vorpommern-Rügen                                                      ,MV,1517376.0659999996,7267718.3807
1423514._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,64.7,13.5,1975,43063.0,38037.705882352944,2.4,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1057925.876800001,7266567.365500003
1423517._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.9,12.94,1969,43063.0,38037.705882352944,2.3,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1058398.0757,7271040.102799997
1423518._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,13.67,9.0,1966,43063.0,38037.705882352944,2.2,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1059413.6009000018,7271301.649899997
1423519._0,Plattenbrücke                                                                   ,Spannbeton,15.37,15.75,1978,43063.0,38037.705882352944,1.8,1.5  -  1.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1060403.7474000007,7271481.365800001
1423520._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,17.62,6.0,1977,43063.0,38037.705882352944,1.7,1.5  -  1.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1061880.730799999,7271738.274899997
1423521._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,33.54,2.5,1977,43063.0,38037.705882352944,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1063636.868900001,7272245.323200002
1447503._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Stahlverbund,60.51,13.25,2009,,,2.0,2.0  -  2.4,Sagard                                            ,Landkreis Vorpommern-Rügen                                                      ,MV,1509573.3916000016,7269474.230499998
1423522._0,Plattenbrücke                                                                   ,Spannbeton,15.07,14.5,1977,43063.0,38037.705882352944,1.9,1.5  -  1.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1063858.1831,7272343.582699999
1423523._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,19.32,6.0,1981,,,1.7,1.5  -  1.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1065088.998300001,7272963.137100004
1423524._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,5.0,11.0,1984,,,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1065911.0958999991,7273447.9384
1423525._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.6,14.0,1980,,,2.1,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1066485.546500001,7273820.905599996
1423532._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.6,15.97,1983,,,1.9,1.5  -  1.9,Tolk                                              ,Kreis Schleswig-Flensburg                                                       ,SH,1074117.1086000018,7279825.538000002
1423540._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,22.62,21.5,2009,43063.0,38037.705882352944,2.1,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1063539.4836000018,7265353.4804000035
1425500._0,Plattenbrücke                                                                   ,Spannbeton,21.53,11.5,1985,14194.0,11891.448979591836,1.8,1.5  -  1.9,Barkelsby                                         ,Kreis Rendsburg-Eckernförde                                                     ,SH,1096225.120000001,7265378.738300003
2918334._0,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,2.81,6.0,2011,,,1.9,1.5  -  1.9,Bremen - Strom                                    ,Bremen                                                                          ,,,
1425501._0,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,4.65,13.5,1961,14194.0,11891.448979591836,2.0,2.0  -  2.4,Barkelsby                                         ,Kreis Rendsburg-Eckernförde                                                     ,SH,1096802.7824000008,7266097.105800003
1425502._0,Plattenbrücke                                                                   ,Spannbeton,15.82,10.04,1966,,,1.0,1.0  -  1.4,Loose                                             ,Kreis Rendsburg-Eckernförde                                                     ,SH,1100149.4056000002,7269601.662600003
1425503._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,22.5,7.0,1964,,,2.1,2.0  -  2.4,Söby                                              ,Kreis Rendsburg-Eckernförde                                                     ,SH,1104466.8524000011,7276829.975900002
1425504._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.65,13.5,1963,,,2.4,2.0  -  2.4,Vogelsang-Grünholz                                ,Kreis Rendsburg-Eckernförde                                                     ,SH,1106939.1865000017,7277694.3598000035
1425505._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,21.83,13.5,1970,,,2.4,2.0  -  2.4,Grünholz                                          ,Kreis Rendsburg-Eckernförde                                                     ,SH,1108321.5064000003,7279607.6625000015
1425506._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,25.1,6.5,1972,,,2.0,2.0  -  2.4,Damp                                              ,Kreis Rendsburg-Eckernförde                                                     ,SH,1108471.3698000014,7280466.076499999
1425507._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,25.1,6.5,1972,,,2.2,2.0  -  2.4,Karby                                             ,Kreis Rendsburg-Eckernförde                                                     ,SH,1109099.7358999995,7282233.921099998
2918335._0,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,2.81,4.5,2011,,,1.8,1.5  -  1.9,Bremen - Strom                                    ,Bremen                                                                          ,,,
1520500._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,62.6,13.1,1988,11335.0,13388.380952380952,3.0,3.0  -  3.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1009413.6620000004,7258377.6052
1520501._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,22.73,13.1,1988,11335.0,13388.380952380952,1.9,1.5  -  1.9,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1009868.3339000008,7258797.157799996
1520502._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.66,13.1,1989,11335.0,13388.380952380952,2.0,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1010383.7155000007,7259424.0798999965
1520503._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,23.45,15.75,1985,11335.0,13388.380952380952,2.4,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1010824.0571000016,7260123.413599998
1520505._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,19.83,13.1,1987,11335.0,13388.380952380952,2.2,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011262.4349000008,7260865.832400002
1520506._0,"Rohr als Brücke, ohne Ummantelung                                               ",Stahl/Leichtmetall,4.27,18.29,1988,,,2.0,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011397.0940000004,7261101.563199997
1520507._0,Plattenbrücke                                                                   ,Spannbeton,20.3,13.1,1988,,,2.0,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011581.4836999996,7261430.221900001
1520508._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,22.23,13.1,1988,,,2.3,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011795.9134000018,7261852.702500001
1520509._0,"Rohr als Brücke, ohne Ummantelung                                               ",Stahl/Leichtmetall,4.49,22.07,1988,,,2.1,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011926.8691999988,7262147.870800003
1520510._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,50.93,13.1,1986,,,2.5,2.5  -  2.9,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1012095.0161000006,7262626.412699997
1520511._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,42.2,4.5,1986,,,2.3,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1012200.5001999995,7263910.286200002
1520512._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,23.5,3.0,1985,,,2.5,2.5  -  2.9,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1012032.3658999988,7264671.883900002
1520513._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,27.19,13.1,1985,,,2.4,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011927.8696000016,7264943.342100002
1520516._0,"Rohr als Brücke, ohne Ummantelung                                               ",Stahl/Leichtmetall,2.35,31.09,1975,11335.0,13388.380952380952,2.0,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1006921.2567000017,7254177.356700003
2918336._0,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,2.81,4.5,2011,,,1.7,1.5  -  1.9,Bremen - Strom                                    ,Bremen                                                                          ,,,
1520517._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,13.39,13.25,1991,11335.0,13388.380952380952,2.4,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1007180.5527999996,7255613.822099999
1520518._0,Trogbrücke                                                                      ,Beton/Stahlbeton,35.2,3.0,1991,11335.0,13388.380952380952,1.8,1.5  -  1.9,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1010743.8709999992,7259990.937899999
1520535._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,11.85,13.1,1991,11335.0,13388.380952380952,1.9,1.5  -  1.9,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1010440.4882999994,7259508.372400001
1520547._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Stahl/Leichtmetall,22.5,11.6,2023,11335.0,13388.380952380952,1.0,1.0  -  1.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1008195.1799000016,7257502.600500002
1523501._0,Plattenbrücke                                                                   ,Spannbeton,48.5,9.0,1970,46040.0,40116.3125,2.5,2.5  -  2.9,Owschlag                                          ,Kreis Rendsburg-Eckernförde                                                     ,SH,1070399.1163000015,7248820.967399999
1523502._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,7.29,30.0,1970,46040.0,40116.3125,2.3,2.0  -  2.4,Brekendorf                                        ,Kreis Rendsburg-Eckernförde                                                     ,SH,1069236.7305999994,7250191.950499997
1523503._1,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,4.6,15.48,1970,46040.0,40116.3125,2.3,2.0  -  2.4,Brekendorf                                        ,Kreis Rendsburg-Eckernförde                                                     ,SH,1068438.636500001,7251735.330499999
1523503._2,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,4.6,15.48,1970,46040.0,40116.3125,1.7,1.5  -  1.9,Brekendorf                                        ,Kreis Rendsburg-Eckernförde                                                     ,SH,1068438.636500001,7251735.330499999
1523504._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,8.0,29.5,1970,,,2.4,2.0  -  2.4,Jagel                                             ,Kreis Schleswig-Flensburg                                                       ,SH,1067085.9089000002,7255520.150499999
1523505._0,Hohlkastenbrücke                                                                ,Spannbeton,52.0,6.5,1970,,,2.5,2.5  -  2.9,Lottorf                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1066401.3328999989,7256942.942699999
1523506._1,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,14.12,14.85,1970,,,2.4,2.0  -  2.4,Jagel                                             ,Kreis Schleswig-Flensburg                                                       ,SH,1065190.9675999992,7258550.083999999
1523506._2,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,14.12,14.85,1970,,,2.2,2.0  -  2.4,Jagel                                             ,Kreis Schleswig-Flensburg                                                       ,SH,1065190.9675999992,7258550.083999999
1523507._0,Hohlkastenbrücke                                                                ,Spannbeton,52.0,6.5,1970,,,2.3,2.0  -  2.4,Jagel                                             ,Kreis Schleswig-Flensburg                                                       ,SH,1063765.5956000015,7259802.684900001
1523509._0,Hohlkastenbrücke                                                                ,Spannbeton,52.68,14.8,1971,43063.0,38037.705882352944,3.0,3.0  -  3.4,Jagel                                             ,Kreis Schleswig-Flensburg                                                       ,SH,1062567.6096,7260748.692299999
1523510._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,9.96,67.5,1975,43063.0,38037.705882352944,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1061344.5322999991,7262049.565700002
1523511._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,61.01,13.75,1976,43063.0,38037.705882352944,2.4,2.0  -  2.4,Busdorf                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1061331.877700001,7262066.022
1523512._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,47.42,6.0,1975,43063.0,38037.705882352944,2.0,2.0  -  2.4,Busdorf                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1060545.0223000012,7263241.366999999
1523513._0,Hohlkastenbrücke                                                                ,Spannbeton,67.0,13.0,1975,43063.0,38037.705882352944,2.9,2.5  -  2.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1059742.5447000004,7264369.550800003
1523514._0,Hohlkastenbrücke                                                                ,Spannbeton,51.13,6.5,1976,43063.0,38037.705882352944,2.9,2.5  -  2.9,Dannewerk                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1059188.5592,7264998.965599999
1523515._0,Brücke als Schrägstielrahmen                                                    ,Spannbeton,32.0,15.75,1978,43063.0,38037.705882352944,2.2,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1062811.824000001,7261766.178800002
1523516._0,Hohlkastenbrücke                                                                ,Spannbeton,76.3,20.0,1961,43063.0,38037.705882352944,2.8,2.5  -  2.9,Busdorf                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1063080.433600001,7262433.124200001
1523517._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.3,29.22,1980,43063.0,38037.705882352944,2.0,2.0  -  2.4,Busdorf                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1063675.312100001,7263501.4432
4407515._2,Trogbrücke                                                                      ,Stahl/Leichtmetall,79.5,5.66,1971,,,2.9,2.5  -  2.9,,,,,
1523518._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,43.6,7.0,1962,43063.0,38037.705882352944,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1063773.8632999994,7264162.964199997
1523522._0,"Rohr als Brücke, ohne Ummantelung                                               ",Stahl/Leichtmetall,5.16,20.88,1978,43063.0,38037.705882352944,1.5,1.5  -  1.9,Busdorf                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1062003.2573999986,7262078.969499998
1523800._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Stahlverbund,75.35,17.05,2024,46040.0,40116.3125,1.0,1.0  -  1.4,Owschlag                                          ,Kreis Rendsburg-Eckernförde                                                     ,SH,1073132.827399999,7246388.277400002
1524502._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,29.35,12.72,1968,14194.0,11891.448979591836,2.0,2.0  -  2.4,Eckernförde                                       ,Kreis Rendsburg-Eckernförde                                                     ,SH,1092402.8467000015,7262206.266000003
1524504._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.4,15.5,1986,14194.0,11891.448979591836,2.3,2.0  -  2.4,Kosel                                             ,Kreis Rendsburg-Eckernförde                                                     ,SH,1085121.3321000002,7263770.992600001
1524506.A1,Plattenbrücke                                                                   ,Beton/Stahlbeton,10.8,13.8,1995,,,2.0,2.0  -  2.4,Fleckeby                                          ,Kreis Rendsburg-Eckernförde                                                     ,SH,1079971.3405000009,7262193.9498
1524506.A2,Gewölbe-/Bogenbrücke ohne Aufbeton                                              ,Stein,3.85,9.4,1960,,,1.8,1.5  -  1.9,Fleckeby                                          ,Kreis Rendsburg-Eckernförde                                                     ,SH,1079971.3405000009,7262193.9498
1524507._0,Plattenbrücke                                                                   ,Spannbeton,27.4,13.3,1965,14194.0,11891.448979591836,2.0,2.0  -  2.4,Eckernförde                                       ,Kreis Rendsburg-Eckernförde                                                     ,SH,1092520.0918999985,7262343.5436
1524508._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.9,16.42,1963,14194.0,11891.448979591836,2.2,2.0  -  2.4,Eckernförde                                       ,Kreis Rendsburg-Eckernförde                                                     ,SH,1092816.2285000011,7262681.9692
1524509._0,Plattenbrücke                                                                   ,Spannbeton,20.2,13.5,1962,14194.0,11891.448979591836,2.5,2.5  -  2.9,Eckernförde                                       ,Kreis Rendsburg-Eckernförde                                                     ,SH,1093074.9635000003,7262923.522299997
1524514._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.5,14.42,1992,14194.0,11891.448979591836,2.0,2.0  -  2.4,Goosefeld                                         ,Kreis Rendsburg-Eckernförde                                                     ,SH,1092738.696899999,7253217.741700001
1524515._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,33.85,11.25,2003,14194.0,11891.448979591836,2.0,2.0  -  2.4,Groß Wittensee                                    ,Kreis Rendsburg-Eckernförde                                                     ,SH,1087524.2155999988,7248568.875699997
1524516._0,"Rohr als Brücke, ohne Ummantelung                                               ",Stahl/Leichtmetall,6.93,16.8,2004,14194.0,11891.448979591836,2.0,2.0  -  2.4,Groß Wittensee                                    ,Kreis Rendsburg-Eckernförde                                                     ,SH,1089351.1460000016,7248496.229699999
1524517._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,20.4,4.5,2003,,,1.8,1.5  -  1.9,Groß Wittensee                                    ,Kreis Rendsburg-Eckernförde                                                     ,SH,1085954.4224000014,7247246.760399997
1524518._0,Plattenbrücke                                                                   ,Spannbeton,24.56,23.0,2011,14194.0,11891.448979591836,2.0,2.0  -  2.4,Eckernförde                                       ,Kreis Rendsburg-Eckernförde                                                     ,SH,1094091.319400001,7259742.287600003
1524519._0,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,6.69,41.55,2013,14194.0,11891.448979591836,1.7,1.5  -  1.9,Eckernförde                                       ,Kreis Rendsburg-Eckernförde                                                     ,SH,1093515.6917999985,7260802.768700004
1524520._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,4.1,19.05,2012,14194.0,11891.448979591836,1.9,1.5  -  1.9,Eckernförde                                       ,Kreis Rendsburg-Eckernförde                                                     ,SH,1093005.1088000014,7261587.060000002
1525501._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,5.22,18.12,1986,14194.0,11891.448979591836,2.0,2.0  -  2.4,Eckenförde                                        ,Kreis Rendsburg-Eckernförde                                                     ,SH,1095083.9888000004,7258623.5823
