bridge_id,bauwerksart_text,baustoffklasse,laenge,breite,baujahr,traffic_dtv_latest,traffic_dtv_mean,zustandsnote,zustandsnotenklasse,gis_ort,gis_kreis,gis_bundesland,geom_x,geom_y
5221504._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,10.95,13.2,1967,,,2.3,2.0  -  2.4,Stadt Romrod                                      ,Vogelsbergkreis                                                                 ,HE,1026500.0320000016,6571017.2491
5221507._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,61.2,13.5,1980,55521.0,53859.40909090909,2.3,2.0  -  2.4,Stadt Alsfeld                                     ,Vogelsbergkreis                                                                 ,HE,1031000.9118000008,6576279.387000002
5221508._0,Gewölbe-/Bogenbrücke mit Aufbeton ohne Verbund                                  ,Beton/Stahlbeton,19.6,13.25,1984,,,1.1,1.0  -  1.4,Alsfeld/Angenrod                                  ,Vogelsbergkreis                                                                 ,HE,1024923.6066999994,6579347.083400004
5221511._0,Plattenbrücke                                                                   ,Spannbeton,19.8,14.15,1967,55521.0,53859.40909090909,2.2,2.0  -  2.4,Stadt Alsfeld                                     ,Vogelsbergkreis                                                                 ,HE,1033014.6312999986,6577522.710000001
5221512._0,Gewölbe- bzw. Bogenbrücke                                                       ,Beton/Stahlbeton,3.1,37.2,1968,55521.0,53859.40909090909,2.2,2.0  -  2.4,Stadt Alsfeld                                     ,Vogelsbergkreis                                                                 ,HE,1033681.5707999988,6577579.490800001
5221513._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.3,28.0,1968,55521.0,53859.40909090909,2.0,2.0  -  2.4,Stadt Alsfeld                                     ,Vogelsbergkreis                                                                 ,HE,1033897.2692999988,6577617.419299997
5221520._1,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,27.38,15.98,1989,55521.0,53859.40909090909,2.3,2.0  -  2.4,Alsfeld / Altenburg                               ,Vogelsbergkreis                                                                 ,HE,1033727.7732000016,6575941.787100002
5221520._2,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,27.38,15.98,1989,55521.0,53859.40909090909,2.3,2.0  -  2.4,Alsfeld / Altenburg                               ,Vogelsbergkreis                                                                 ,HE,1033727.7732000016,6575941.787100002
5221521._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,5.7,13.1,1969,55521.0,53859.40909090909,1.9,1.5  -  1.9,Alsfeld/Eudorf                                    ,Vogelsbergkreis                                                                 ,HE,1033831.4149999992,6578300.4718
5221522._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,5.0,13.0,1969,55521.0,53859.40909090909,1.0,1.0  -  1.4,Alsfeld/Eudorf                                    ,Vogelsbergkreis                                                                 ,HE,1034148.4184000008,6580177.012900002
